ID	prefLabel	Synonyms_from_taxonomy	Curated_synonyms	Comment	Classification	Classification_comment	Classification_pub
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_38	Inh L5-6 SST TH	Inh L5-6 SST TH|MTG 038		cell_set_preferred_alias:Inh L5-6 SST TH ; original_label:Inh L5-6 SST TH ; cell_set_label:MTG 038 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_117	PVALB	PVALB|n42|MTG 039-044|Basket		cell_set_preferred_alias:PVALB ; original_label:n42 ; cell_set_label:MTG 039-044 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:Basket			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_39	Inh L5-6 LHX6 GLP1R	MTG 039|Inh L5-6 LHX6 GLP1R		cell_set_preferred_alias:Inh L5-6 LHX6 GLP1R ; original_label:Inh L5-6 LHX6 GLP1R ; cell_set_label:MTG 039 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_118		MTG 040-044|n43		cell_set_preferred_alias:'' ; original_label:n43 ; cell_set_label:MTG 040-044 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_40	Inh L5-6 PVALB LGR5	MTG 040|Inh L5-6 PVALB LGR5		cell_set_preferred_alias:Inh L5-6 PVALB LGR5 ; original_label:Inh L5-6 PVALB LGR5 ; cell_set_label:MTG 040 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_119		n44|MTG 041-044		cell_set_preferred_alias:'' ; original_label:n44 ; cell_set_label:MTG 041-044 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_120		MTG 041-043|n45		cell_set_preferred_alias:'' ; original_label:n45 ; cell_set_label:MTG 041-043 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_41	Inh L4-5 PVALB MEPE	Inh L4-5 PVALB MEPE|MTG 041		cell_set_preferred_alias:Inh L4-5 PVALB MEPE ; original_label:Inh L4-5 PVALB MEPE ; cell_set_label:MTG 041 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_121		MTG 042-043|n46		cell_set_preferred_alias:'' ; original_label:n46 ; cell_set_label:MTG 042-043 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_42	Inh L2-4 PVALB WFDC2	Inh L2-4 PVALB WFDC2|MTG 042		cell_set_preferred_alias:Inh L2-4 PVALB WFDC2 ; original_label:Inh L2-4 PVALB WFDC2 ; cell_set_label:MTG 042 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
