Taxonomy_node_ID	clusterName	Markers Delimited
CS202002013_200		ENSMUSG00000029563|ENSMUSG00000078591
CS202002013_205		ENSMUSG00000019997|ENSMUSG00000039714
CS202002013_207		ENSMUSG00000021998|ENSMUSG00000096972
CS202002013_210		ENSMUSG00000021318|ENSMUSG00000036949
CS202002013_213		ENSMUSG00000115529|ENSMUSG00000020422
CS202002013_216		ENSMUSG00000032841|ENSMUSG00000032517
CS202002013_223		ENSMUSG00000032796|ENSMUSG00000030108
CS202002013_226		ENSMUSG00000010122|ENSMUSG00000028487
CS202002013_230		ENSMUSG00000021665
CS202002013_91		ENSMUSG00000039954|ENSMUSG00000029231
CS202002013_120		ENSMUSG00000029231|ENSMUSG00000039954
CS202002013_128		ENSMUSG00000049001|ENSMUSG00000021508
CS202002013_131		ENSMUSG00000049001|ENSMUSG00000075270
CS202002013_134		ENSMUSG00000048967|ENSMUSG00000059049
CS202002013_136		ENSMUSG00000028364|ENSMUSG00000058897
CS202002013_137		ENSMUSG00000028004|ENSMUSG00000029101
CS202002013_140		ENSMUSG00000069911|ENSMUSG00000084908|ENSMUSG00000037362
CS202002013_144		ENSMUSG00000028121|ENSMUSG00000019772|ENSMUSG00000021662
CS202002013_147		ENSMUSG00000021919|ENSMUSG00000023945
CS202002013_148		ENSMUSG00000019772|ENSMUSG00000057378|ENSMUSG00000024211
CS202002013_149		ENSMUSG00000110468|ENSMUSG00000042581
CS202002013_155		ENSMUSG00000070366|ENSMUSG00000059203
CS202002013_157		ENSMUSG00000055214|ENSMUSG00000039579
CS202002013_161		ENSMUSG00000068220|ENSMUSG00000031997|ENSMUSG00000024990
CS202002013_164		ENSMUSG00000004366|ENSMUSG00000027965
CS202002013_166		ENSMUSG00000114028|ENSMUSG00000049796
CS202002013_167		ENSMUSG00000025400|ENSMUSG00000018417|ENSMUSG00000036019
CS202002013_170		ENSMUSG00000000214|ENSMUSG00000028971
CS202002013_176		ENSMUSG00000061762|ENSMUSG00000028971|ENSMUSG00000034324
CS202002013_177		ENSMUSG00000010461|ENSMUSG00000052353
CS202002013_178		ENSMUSG00000020099|ENSMUSG00000067028
CS202002013_184		ENSMUSG00000098097|ENSMUSG00000033308|ENSMUSG00000059187|ENSMUSG00000022790
CS202002013_188		ENSMUSG00000036192|ENSMUSG00000084890|ENSMUSG00000034402
CS202002013_190		ENSMUSG00000022419|ENSMUSG00000059203
CS202002013_191		ENSMUSG00000034009|ENSMUSG00000045613|ENSMUSG00000055214
CS202002013_192		ENSMUSG00000020651|ENSMUSG00000016918
CS202002013_195		ENSMUSG00000020140|ENSMUSG00000021541|ENSMUSG00000098760|ENSMUSG00000022112
CS202002013_201		ENSMUSG00000111765|ENSMUSG00000022231|ENSMUSG00000039706
CS202002013_202		ENSMUSG00000111765|ENSMUSG00000025997
CS202002013_206		ENSMUSG00000116029|ENSMUSG00000110281
CS202002013_208		ENSMUSG00000019935|ENSMUSG00000028031
CS202002013_209		ENSMUSG00000027210
CS202002013_211		ENSMUSG00000021318|ENSMUSG00000036949
CS202002013_214		ENSMUSG00000115529|ENSMUSG00000013523
CS202002013_215		ENSMUSG00000015202
CS202002013_217		ENSMUSG00000032841|ENSMUSG00000032517
CS202002013_218		ENSMUSG00000032517|ENSMUSG00000032702
CS202002013_224		ENSMUSG00000064294|ENSMUSG00000032796
CS202002013_225		ENSMUSG00000048424|ENSMUSG00000069378
CS202002013_227		ENSMUSG00000010122
CS202002013_228		ENSMUSG00000061171
CS202002013_231		ENSMUSG00000039109
